ExpID	File_Name	Env	Setup	LD_cycle	Num	ID	Nest	Source	Phenotype	Location	Gen	Sex	Photo	Subj_activity	Act_index	Breeding_nest	Start_Date	End_Date	Soil	Bury	Eggs	Instar	Distance	Carcass	Phenotype	expression	phen_idx
Loc0910		warmroom	simple	LD_4	1	S9206	n7565	WL	0	1_1	WT	F	L	Abnormal		n7935	9/15/20		9.98	0	0	0	3.459		s		0
Loc0910		warmroom	simple	LD_4	2	S9373	n7566	BF	0	9_9	WT	M	L			NA	NA		NA	NA	NA	NA	NA		NA		0
Loc0910		warmroom	simple	LD_4	3	S8974	n7488	WL	0	3_5	WT	F	L	Hyperactive		n7931	9/15/20		9.7	1	1	0	1.734		y		0
Loc0910		warmroom	simple	LD_4	4	S9266	n7578	WL	0	3_3	WT	F	L	Active		n7937	9/15/20		10.9	0	0	0	NA		s		0
Loc0910		warmroom	simple	LD_4	5	S9470	n7583	WL	0	1_1	WT	M	L	Active		n7937	9/15/20		10.9	0	0	0	4.589		s		0
Loc0910		warmroom	simple	LD_4	6	S9524	n7582	WL	0	11_7	WT	F	L	Hyperactive		n7930	9/15/20		10.271	0.5	0	0	0.752		s		0
Loc0910		warmroom	simple	LD_4	7	T0767	n7890	MF	1	7429_7427	F20	F	L									1					1
Loc0910		warmroom	simple	LD_4	8	S9411	n7573	BF	0	12_10	WT	M	L			NA	NA		NA	NA	NA	NA	NA		NA		0
Loc0910		warmroom	simple	LD_4	9	S9285	n7578	WL	0	3_3	WT	F	L	Active		n7932	9/15/20		10.708	1	1	0	4.815		y		0
Loc0910		warmroom	simple	LD_4	10	S9499	n7588	WL	0	1_2	WT	M	L	Abnormal		n7936	9/15/20		11.4	0	0	0	8.5		s		0
Loc0910		warmroom	simple	LD_4	11	S9457	n7583	WL	0	1_1	WT	F	L	Abnormal		n7936	9/15/20		11.4	0	0	0	2		s		0
Loc0910		warmroom	simple	LD_4	12	S9465	n7583	WL	0	1_1	WT	M	L	Abnormal		n7935	9/15/20		9.98	0	0	0	9.26		s		0
Loc0910		warmroom	simple	LD_4	13	S9370	n7577	BF	0	12_12	WT	M	L			NA	NA		NA	NA	NA	NA	NA		NA		0
Loc0910		warmroom	simple	LD_4	14	S9192	n7584	BF	0	8_8	WT	M	L			NA	NA		NA	NA	NA	NA	NA		NA		0
Loc0910		warmroom	simple	LD_4	15	S9220	n7565	WL	0	1_1	WT	F	L	Active		n7933	9/15/20		NA	0	0	0	4.3		s		0
Loc0910		warmroom	simple	LD_4	16	S9297	n7575	BF	0	15_17	WT	M	L			NA	NA		NA	NA	NA	NA	NA		NA		0
Loc0910		warmroom	simple	LD_4	17	S9523	n7582	WL	0	11_7	WT	M	L	Active		n7939	9/15/20		9.763	0	0	0	0.548		s		0
Loc0910		warmroom	simple	LD_4	18	S9381	n7566	BF	0	9_9	WT	F	L			NA	NA		NA	NA	NA	NA	NA		NA		0
Loc0910		warmroom	simple	LD_4	19	S9261	n7578	WL	0	3_3	WT	M	L	Active		n7931	9/15/20		9.7	1	1	0	0.345		s		0
Loc0910		warmroom	simple	LD_4	20	S9215	n7565	WL	0	1_1	WT	M	L	Active		n7938	9/15/20		10.5	0	0	0	1.69		s		0
Loc0910		warmroom	simple	LD_4	21	S9210	n7565	WL	0	1_1	WT	M	L	Hyperactive		n7930	9/15/20		10.271	0.5	0	0	1.518		y		0
Loc0910		warmroom	simple	LD_4	22	S9447	n7583	WL	0	1_1	WT	F	L	Active		n7938	9/15/20		10.5	0	0	0	1.091		s		0
Loc0910		warmroom	simple	LD_4	23	S9303	n7575	BF	0	15_17	WT	F	L			NA	NA		NA	NA	NA	NA	NA		NA		0
Loc0910		warmroom	simple	LD_4	24	T0792	n7890	MF	1	7429_7427	F20	M	L									1					1
Loc0910		warmroom	simple	LD_4	25	S9245	n7578	WL	0	3_3	WT	M	L	Inactive		n7933	9/15/20		NA	0	0	0	9		s		0
Loc0910		warmroom	simple	LD_4	26	S9494	n7588	WL	0	1_2	WT	F	L	Active		n7939	9/15/20		9.763	0	0	0	0.868		s		0
Loc0910		warmroom	simple	LD_4	27	S9402	n7573	BF	0	12_10	WT	F	L			NA	NA		NA	NA	NA	NA	NA		NA		0
Loc0910		warmroom	simple	LD_4	28	S9518	n7582	WL	0	11_7	WT	M	L	Inactive		n7932	9/15/20		10.708	1	1	0	1.205		s		0
Loc0910		warmroom	simple	LD_4	29	S9360	n7577	BF	0	12_12	WT	F	L			NA	NA		NA	NA	NA	NA	NA		NA		0
Loc0910		warmroom	simple	LD_4	30	S8967	n7488	WL	0	3_5	WT	M	L	Inactive		n7934	9/15/20		10.189	0	0	0	5.924		s		0
Loc0910		warmroom	simple	LD_4	31	S9521	n7582	WL	0	11_7	WT	F	L	Active		n7934	9/15/20		10.189	0	0	0	4.92		s		0
Loc0910		warmroom	simple	LD_4	32	S9182	n7584	BF	0	8_8	WT	F	L			NA	NA	NA	NA	NA	NA	NA	NA		NA		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	1	S9368	n7577	BF	0	12_12	WT	M	L	Active	1	n7962	9/30/20	10/13/20	10.504	0.5	0	0	NA	NA	y		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	2	S9498	n7588	WL	0	1_2	WT	M	L	Inactive	0	n7958	9/30/20	10/6/20	10.002	0	0	0	0.637	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	3	S9187	n7584	BF	0	8_8	WT	F	L	Active	1	n7962	9/30/20	10/13/20	10.504	0.5	0	0	3.553	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	4	S9286	n7578	WL	0	3_3	WT	F	L	Inactive	0	n7954	9/30/20	10/6/20	10.137	0	0	0	1.358	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	5	S9412	n7573	BF	0	12_10	WT	F	L	Active	1	n7964	9/30/20	10/13/20	9.96	1	1	0	NA	NA	y		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	6	S8960	n7488	WL	0	3_5	WT	F	L	Inactive	0	n7958	9/30/20	10/6/20	10.002	0	0	0	1.053	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	7	S9211	n7565	WL	0	1_1	WT	F	L	Inactive	0	n7959	9/30/20	10/6/20	10.091	0	0	0	0.802	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	8	S9461	n7583	WL	0	1_1	WT	M	L	Inactive	0	n7959	9/30/20	10/6/20	10.091	0	0	0	0.923	0	s		0
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	9	T0758	n7890	MF	1	7429_7427	F20	F	L									1					1
Loc0924	Monitor20200924_0928_soil	warmroom	soil	LD_4	10	S9452	n7583	WL	0	1_1	WT	M	L	Active	1	n7954	9/30/20	10/6/20	10.137	0	0	0	0.913	0	s		0
